"[0, 0]","[0, 0]",1,1
"[157, 51]","[157, 51]",1,1
"[93, 82]","[93, 82]",1,1
"[4, 6]","[986, 314]",1,1
"[2, 441]","[984, 693]",1,1
"[478, 275]","[495, 527]",1,1
"[955, 387]","[955, 387]",2,1
"[931, 317]","[977, 438]",2,1
"[44, 363]","[44, 363]",3,1
"[40, 41]","[68, 227]",2,1
"[66, 55]","[105, 75]",2,1
"[105, 75]","[126, 125]",2,1
"[60, 126]","[105, 145]",2,1
"[104, 146]","[124, 203]",2,1
"[56, 203]","[104, 221]",2,1
"[135, 166]","[147, 207]",2,1
"[147, 207]","[175, 219]",2,1
"[174, 168]","[183, 208]",2,1
"[197, 84]","[209, 220]",2,1
"[222, 87]","[237, 223]",2,1
"[262, 184]","[311, 198]",2,1
"[296, 165]","[312, 185]",2,1
"[270, 151]","[296, 165]",2,1
"[255, 151]","[270, 226]",2,1
"[255, 212]","[309, 226]",2,1
"[320, 110]","[386, 122]",2,1
"[338, 88]","[348, 228]",2,1
"[373, 176]","[403, 186]",2,1
"[363, 186]","[373, 213]",2,1
"[373, 213]","[411, 218]",2,1
"[406, 218]","[411, 241]",2,1
"[367, 235]","[406, 241]",2,1
"[463, 166]","[522, 207]",2,1
"[496, 209]","[522, 251]",2,1
"[454, 230]","[496, 251]",2,1
"[474, 179]","[508, 197]",1,1
"[554, 169]","[617, 250]",2,1
"[568, 189]","[602, 237]",1,1
"[641, 134]","[717, 150]",2,1
"[660, 111]","[674, 254]",2,1
"[690, 155]","[703, 248]",2,1
"[697, 193]","[728, 209]",2,1
"[728, 209]","[742, 247]",2,1
"[763, 194]","[772, 246]",2,1
"[772, 246]","[820, 262]",2,1
"[804, 191]","[820, 244]",2,1
"[34, 486]","[53, 584]",2,1
"[53, 584]","[104, 608]",2,1
"[103, 491]","[123, 585]",2,1
"[124, 584]","[192, 609]",2,1
"[188, 493]","[213, 583]",2,1
"[213, 493]","[213, 493]",2,1
"[231, 537]","[249, 598]",2,1
"[249, 506]","[315, 537]",2,1
"[313, 530]","[346, 635]",2,1
"[247, 600]","[321, 616]",2,1
"[382, 500]","[395, 635]",2,1
"[414, 500]","[437, 642]",2,1
"[472, 559]","[524, 582]",2,1
"[454, 581]","[472, 641]",2,1
"[474, 640]","[538, 648]",2,1
"[530, 648]","[538, 668]",2,1
"[459, 658]","[530, 668]",2,1
"[608, 566]","[722, 589]",2,1
"[685, 534]","[707, 625]",2,1
"[633, 520]","[685, 534]",2,1
"[634, 623]","[686, 645]",2,1
"[703, 545]","[709, 569]",2,1
"[707, 553]","[719, 571]",2,1
"[702, 581]","[717, 606]",2,1
"[715, 572]","[749, 578]",2,1
"[634, 534]","[652, 638]",2,1
"[742, 588]","[761, 634]",2,1
"[737, 529]","[764, 571]",2,1
"[602, 524]","[807, 543]",2,1
"[682, 497]","[695, 659]",2,1
