"[0, 0]","[0, 0]",1,1
"[115, 40]","[144, 126]",1,1
"[143, 117]","[177, 255]",1,1
"[176, 40]","[205, 129]",1,1
"[251, 147]","[283, 215]",1,1
"[272, 122]","[340, 153]",1,1
"[269, 204]","[339, 242]",1,1
"[333, 141]","[358, 224]",1,1
"[400, 134]","[417, 231]",1,1
"[411, 220]","[483, 249]",1,1
"[468, 143]","[498, 237]",1,1
"[572, 152]","[605, 257]",1,1
"[601, 228]","[674, 273]",1,1
"[664, 159]","[705, 241]",1,1
"[693, 230]","[759, 273]",1,1
"[746, 167]","[771, 250]",1,1
"[819, 189]","[837, 266]",1,1
"[817, 137]","[839, 162]",1,1
"[858, 199]","[872, 265]",1,1
"[869, 177]","[939, 203]",1,1
"[935, 199]","[954, 269]",1,1
"[192, 337]","[213, 464]",1,1
"[203, 437]","[282, 458]",1,1
"[321, 418]","[344, 460]",1,1
"[335, 401]","[393, 425]",1,1
"[386, 421]","[408, 465]",1,1
"[339, 456]","[396, 474]",1,1
"[431, 382]","[446, 475]",1,1
"[437, 453]","[497, 476]",1,1
"[534, 429]","[619, 447]",1,1
"[597, 408]","[617, 426]",1,1
"[546, 394]","[599, 412]",1,1
"[532, 407]","[555, 432]",1,1
"[539, 444]","[562, 465]",1,1
"[551, 458]","[621, 481]",1,1
"[794, 440]","[926, 503]",1,1
"[828, 402]","[895, 449]",1,1
"[737, 370]","[842, 408]",1,1
"[714, 396]","[751, 556]",1,1
"[741, 551]","[783, 584]",1,1
"[770, 527]","[828, 556]",1,1
"[817, 551]","[866, 580]",1,1
"[846, 495]","[881, 560]",1,1
"[18, 564]","[85, 663]",1,1
"[66, 539]","[129, 584]",1,1
"[121, 578]","[164, 646]",1,1
"[113, 624]","[128, 652]",1,1
"[103, 618]","[115, 631]",1,1
"[111, 614]","[115, 619]",1,1
"[115, 619]","[115, 620]",1,1
"[114, 613]","[116, 618]",1,1
"[777, 464]","[777, 464]",3,1
