"[0, 0]","[0, 0]",1,1
"[9, 364]","[594, 694]",1,1
"[31, 34]","[31, 34]",3,1
"[7, 51]","[850, 96]",1,1
"[596, 600]","[978, 689]",2,1
"[688, 123]","[981, 168]",1,1
"[689, 165]","[730, 217]",1,1
"[611, 253]","[853, 286]",1,1
"[813, 165]","[852, 256]",1,1
"[592, 363]","[845, 495]",1,1
"[576, 91]","[611, 200]",1,1
"[641, 154]","[696, 183]",1,1
"[420, 284]","[639, 319]",1,1
"[693, 315]","[726, 360]",1,1
"[693, 356]","[726, 376]",1,1
"[768, 282]","[799, 343]",1,1
"[499, 159]","[543, 284]",1,1
"[419, 161]","[447, 241]",1,1
"[319, 209]","[423, 241]",1,1
"[319, 242]","[351, 321]",1,1
"[237, 161]","[417, 190]",1,1
"[240, 190]","[276, 321]",1,1
"[57, 93]","[93, 317]",1,1
"[146, 136]","[197, 367]",1,1
"[235, 91]","[281, 156]",1,1
"[236, 150]","[279, 177]",1,1
"[347, 286]","[425, 316]",1,1
"[0, 0]","[0, 0]",1,1
"[886, 380]","[886, 380]",1,1
"[896, 421]","[896, 421]",1,1
"[898, 476]","[898, 476]",1,1
